smiles,T,P,density,red_T
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,286.0,1.0,826.6244157354114,0.398996856980764
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,310.0,1.0,813.7622598336243,0.4324791107134155
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,334.0,1.0,800.1297888100116,0.46596136444606706
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,358.0,1.0,785.7270026645737,0.4994436181787186
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,382.0,1.0,770.5539013973101,0.5329258719113701
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,406.0,1.0,754.6104850082213,0.5664081256440217
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,430.0,1.0,737.8967534973069,0.5998903793766731
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,454.0,1.0,720.4127068645671,0.6333726331093247
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,477.0,1.0,702.9343230718257,0.6654597929364491
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,501.0,1.0,683.9417426588444,0.6989420466691005
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,525.0,1.0,664.1788471240377,0.7324243004017521
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,549.0,1.0,643.6456364674057,0.7659065541344036
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,573.0,1.0,622.342110688948,0.7993888078670551
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,597.0,1.0,600.2682697886648,0.8328710615997067
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,621.0,1.0,577.4241137665565,0.8663533153323582
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,645.0,1.0,553.8096426226225,0.8998355690650097
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,309.0,1.0,822.0914288361695,0.39877183350006506
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,335.0,1.0,808.9322937576509,0.43232545055832294
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,361.0,1.0,794.9538245848316,0.4658790676165809
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,387.0,1.0,780.1560213177119,0.49943268467483876
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,412.0,1.0,765.1546934941254,0.5316957780000867
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,438.0,1.0,748.749734888185,0.5652493950583446
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,464.0,1.0,731.5254421879442,0.5988030121166026
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,490.0,1.0,713.4818153934027,0.6323566291748605
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,516.0,1.0,694.6188545045607,0.6659102462331183
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,542.0,1.0,674.936559521418,0.6994638632913762
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,568.0,1.0,654.4349304439747,0.7330174803496341
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,594.0,1.0,633.1139672722309,0.7665710974078921
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,619.0,1.0,611.8403703095826,0.79883419073314
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,645.0,1.0,588.9122517990182,0.8323878077913979
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,671.0,1.0,565.1647991941534,0.8659414248496559
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,697.0,1.0,540.5980124949878,0.8994950419079137
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,320.0,1.0,852.799432357293,0.3999535810163467
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,347.0,1.0,839.1736244526204,0.43369966441460095
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,373.0,1.0,825.5381681670117,0.4661958928721791
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,400.0,1.0,810.8441822477274,0.49994197627043335
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,427.0,1.0,795.606030170056,0.5336880596686876
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,453.0,1.0,780.4179461623003,0.5661842881262658
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,480.0,1.0,764.1116160700171,0.59993037152452
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,507.0,1.0,747.261119819347,0.6336764549227742
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,533.0,1.0,730.5204080894441,0.6661726833803524
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,560.0,1.0,712.6017338241622,0.6999187667786068
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,587.0,1.0,694.1388934004932,0.733664850176861
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,613.0,1.0,675.8455539484434,0.7661610786344392
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,640.0,1.0,656.3145355101626,0.7999071620326934
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,667.0,1.0,636.2393509134947,0.8336532454309477
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,693.0,1.0,616.3933837392979,0.8661494738885258
CC(C(C)(C)C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,720.0,1.0,595.2500211280184,0.8998955572867801
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,301.0,1.0,828.0265513515387,0.3999015730688602
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,326.0,1.0,815.1376731030874,0.43311598943670576
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,351.0,1.0,801.4723574228301,0.4663304058045513
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,376.0,1.0,787.0306043107671,0.4995448221723968
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,401.0,1.0,771.8124137668981,0.5327592385402423
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,426.0,1.0,755.8177857912232,0.5659736549080879
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,451.0,1.0,739.0467203837425,0.5991880712759334
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,476.0,1.0,721.4992175444559,0.6324024876437789
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,502.0,1.0,702.4261697639381,0.6669454806663383
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,527.0,1.0,683.2947345637675,0.7001598970341839
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,552.0,1.0,663.3868619317911,0.7333743134020294
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,577.0,1.0,642.7025518680088,0.7665887297698749
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,602.0,1.0,621.2418043724206,0.7998031461377204
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,627.0,1.0,599.0046194450265,0.833017562505566
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,652.0,1.0,575.9909970858265,0.8662319788734115
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,677.0,1.0,552.2009372948207,0.899446395241257
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,313.0,1.0,877.9389224100642,0.39920445477613015
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,339.0,1.0,868.3517282717308,0.43236520820801316
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,365.0,1.0,857.9171273539171,0.4655259616398962
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,391.0,1.0,846.635119656623,0.4986867150717792
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,418.0,1.0,834.0222661740511,0.5331228820971962
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,444.0,1.0,821.0128523493547,0.5662836355290792
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,470.0,1.0,807.156031745178,0.5994443889609622
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,496.0,1.0,792.4518043615209,0.6326051423928453
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,522.0,1.0,776.9001701983834,0.6657658958247282
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,548.0,1.0,760.5011292557656,0.6989266492566113
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,574.0,1.0,743.2546815336674,0.7320874026884943
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,600.0,1.0,725.1608270320888,0.7652481561203773
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,627.0,1.0,705.4741326373753,0.7996843231457943
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,653.0,1.0,685.6528720083945,0.8328450765776773
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,679.0,1.0,664.9842045999333,0.8660058300095603
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,705.0,1.0,643.4681304119918,0.8991665834414433
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,302.0,1.0,857.9663028677962,0.39939171637142934
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,327.0,1.0,845.9211973882062,0.43245394454787217
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,352.0,1.0,832.9049080371638,0.465516172724315
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,378.0,1.0,818.3377352612428,0.4999008900278155
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,403.0,1.0,803.3402308124373,0.5329631182042583
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,428.0,1.0,787.3715424921793,0.5660253463807012
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,453.0,1.0,770.4316703004689,0.599087574557144
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,478.0,1.0,752.520614237306,0.6321498027335868
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,504.0,1.0,732.8628840807798,0.6665345200370874
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,529.0,1.0,712.9706129198539,0.6995967482135302
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,554.0,1.0,692.1071578874755,0.732658976389973
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,579.0,1.0,670.2725189836447,0.7657212045664159
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,604.0,1.0,647.4666962083613,0.7987834327428587
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,630.0,1.0,622.7184086712298,0.8331681500463592
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,655.0,1.0,597.9313707981835,0.866230378222802
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,680.0,1.0,572.1731490536847,0.8992926063992449
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,312.0,1.0,852.7032796647915,0.39891075317348934
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,338.0,1.0,839.3563877054929,0.43215331593794676
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,364.0,1.0,825.3013782318092,0.46539587870240423
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,390.0,1.0,810.53825124374,0.49863844146686165
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,416.0,1.0,795.0670067412855,0.5318810042313191
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,442.0,1.0,778.8876447244456,0.5651235669957766
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,468.0,1.0,762.0001651932206,0.598366129760234
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,494.0,1.0,744.4045681476102,0.6316086925246914
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,521.0,1.0,725.3827231660108,0.6661298153954741
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,547.0,1.0,706.3436558026149,0.6993723781599316
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,573.0,1.0,686.5964709248337,0.7326149409243891
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,599.0,1.0,666.1411685326673,0.7658575036888465
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,625.0,1.0,644.9777486261155,0.7991000664533039
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,651.0,1.0,623.1062112051786,0.8323426292177614
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,677.0,1.0,600.5265562698562,0.8655851919822188
CC(C(C)(C)C)C(C)(C(C)C(C)(C)C)C(C)(C)C,703.0,1.0,577.2387838201485,0.8988277547466763
CC(C(C)(C)C)C(C)(C)C,250.0,1.0,786.9673438337124,0.3994352742920288
CC(C(C)(C)C)C(C)(C)C,271.0,1.0,774.7525944985023,0.43298783733255924
CC(C(C)(C)C)C(C)(C)C,292.0,1.0,761.5941968042295,0.46654040037308964
CC(C(C)(C)C)C(C)(C)C,313.0,1.0,747.492150750894,0.5000929634136201
CC(C(C)(C)C)C(C)(C)C,333.0,1.0,733.1843158991556,0.5320477853569824
CC(C(C)(C)C)C(C)(C)C,354.0,1.0,717.2399087638406,0.5656003483975128
CC(C(C)(C)C)C(C)(C)C,375.0,1.0,700.3518532694629,0.5991529114380432
CC(C(C)(C)C)C(C)(C)C,396.0,1.0,682.5201494160226,0.6327054744785736
