smiles,T,P,density,red_T
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,286.0,1.0,826.6244157354114,0.398996856980764
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,310.0,1.0,813.7622598336243,0.4324791107134155
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,334.0,1.0,800.1297888100116,0.46596136444606706
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,358.0,1.0,785.7270026645737,0.4994436181787186
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,382.0,1.0,770.5539013973101,0.5329258719113701
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,406.0,1.0,754.6104850082213,0.5664081256440217
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,430.0,1.0,737.8967534973069,0.5998903793766731
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,454.0,1.0,720.4127068645671,0.6333726331093247
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,477.0,1.0,702.9343230718257,0.6654597929364491
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,501.0,1.0,683.9417426588444,0.6989420466691005
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,525.0,1.0,664.1788471240377,0.7324243004017521
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,549.0,1.0,643.6456364674057,0.7659065541344036
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,573.0,1.0,622.342110688948,0.7993888078670551
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,597.0,1.0,600.2682697886648,0.8328710615997067
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,621.0,1.0,577.4241137665565,0.8663533153323582
CC(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,645.0,1.0,553.8096426226225,0.8998355690650097
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,309.0,1.0,822.0914288361695,0.39877183350006506
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,335.0,1.0,808.9322937576509,0.43232545055832294
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,361.0,1.0,794.9538245848316,0.4658790676165809
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,387.0,1.0,780.1560213177119,0.49943268467483876
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,412.0,1.0,765.1546934941254,0.5316957780000867
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,438.0,1.0,748.749734888185,0.5652493950583446
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,464.0,1.0,731.5254421879442,0.5988030121166026
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,490.0,1.0,713.4818153934027,0.6323566291748605
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,516.0,1.0,694.6188545045607,0.6659102462331183
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,542.0,1.0,674.936559521418,0.6994638632913762
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,568.0,1.0,654.4349304439747,0.7330174803496341
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,594.0,1.0,633.1139672722309,0.7665710974078921
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,619.0,1.0,611.8403703095826,0.79883419073314
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,645.0,1.0,588.9122517990182,0.8323878077913979
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,671.0,1.0,565.1647991941534,0.8659414248496559
CC(C(C(C)C(C)(C)C)C(C)C(C)(C)C)C(C)(C)C,697.0,1.0,540.5980124949878,0.8994950419079137
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,301.0,1.0,828.0265513515387,0.3999015730688602
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,326.0,1.0,815.1376731030874,0.43311598943670576
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,351.0,1.0,801.4723574228301,0.4663304058045513
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,376.0,1.0,787.0306043107671,0.4995448221723968
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,401.0,1.0,771.8124137668981,0.5327592385402423
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,426.0,1.0,755.8177857912232,0.5659736549080879
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,451.0,1.0,739.0467203837425,0.5991880712759334
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,476.0,1.0,721.4992175444559,0.6324024876437789
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,502.0,1.0,702.4261697639381,0.6669454806663383
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,527.0,1.0,683.2947345637675,0.7001598970341839
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,552.0,1.0,663.3868619317911,0.7333743134020294
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,577.0,1.0,642.7025518680088,0.7665887297698749
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,602.0,1.0,621.2418043724206,0.7998031461377204
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,627.0,1.0,599.0046194450265,0.833017562505566
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,652.0,1.0,575.9909970858265,0.8662319788734115
CC(C(C)(C)C(C)(C)C)C(C)(C)C(C)(C)C,677.0,1.0,552.2009372948207,0.899446395241257
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,313.0,1.0,877.9389224100642,0.39920445477613015
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,339.0,1.0,868.3517282717308,0.43236520820801316
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,365.0,1.0,857.9171273539171,0.4655259616398962
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,391.0,1.0,846.635119656623,0.4986867150717792
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,418.0,1.0,834.0222661740511,0.5331228820971962
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,444.0,1.0,821.0128523493547,0.5662836355290792
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,470.0,1.0,807.156031745178,0.5994443889609622
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,496.0,1.0,792.4518043615209,0.6326051423928453
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,522.0,1.0,776.9001701983834,0.6657658958247282
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,548.0,1.0,760.5011292557656,0.6989266492566113
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,574.0,1.0,743.2546815336674,0.7320874026884943
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,600.0,1.0,725.1608270320888,0.7652481561203773
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,627.0,1.0,705.4741326373753,0.7996843231457943
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,653.0,1.0,685.6528720083945,0.8328450765776773
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,679.0,1.0,664.9842045999333,0.8660058300095603
CC(C(C)(C)C)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,705.0,1.0,643.4681304119918,0.8991665834414433
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,302.0,1.0,857.9663028677962,0.39939171637142934
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,327.0,1.0,845.9211973882062,0.43245394454787217
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,352.0,1.0,832.9049080371638,0.465516172724315
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,378.0,1.0,818.3377352612428,0.4999008900278155
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,403.0,1.0,803.3402308124373,0.5329631182042583
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,428.0,1.0,787.3715424921793,0.5660253463807012
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,453.0,1.0,770.4316703004689,0.599087574557144
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,478.0,1.0,752.520614237306,0.6321498027335868
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,504.0,1.0,732.8628840807798,0.6665345200370874
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,529.0,1.0,712.9706129198539,0.6995967482135302
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,554.0,1.0,692.1071578874755,0.732658976389973
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,579.0,1.0,670.2725189836447,0.7657212045664159
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,604.0,1.0,647.4666962083613,0.7987834327428587
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,630.0,1.0,622.7184086712298,0.8331681500463592
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,655.0,1.0,597.9313707981835,0.866230378222802
CC(C(C)(C)C)C(C)(C(C)(C)C)C(C)(C)C,680.0,1.0,572.1731490536847,0.8992926063992449
CC(C(C)(C)C)C(C)(C)C,250.0,1.0,786.9673438337124,0.3994352742920288
CC(C(C)(C)C)C(C)(C)C,271.0,1.0,774.7525944985023,0.43298783733255924
CC(C(C)(C)C)C(C)(C)C,292.0,1.0,761.5941968042295,0.46654040037308964
CC(C(C)(C)C)C(C)(C)C,313.0,1.0,747.492150750894,0.5000929634136201
CC(C(C)(C)C)C(C)(C)C,333.0,1.0,733.1843158991556,0.5320477853569824
CC(C(C)(C)C)C(C)(C)C,354.0,1.0,717.2399087638406,0.5656003483975128
CC(C(C)(C)C)C(C)(C)C,375.0,1.0,700.3518532694629,0.5991529114380432
CC(C(C)(C)C)C(C)(C)C,396.0,1.0,682.5201494160226,0.6327054744785736
CC(C(C)(C)C)C(C)(C)C,417.0,1.0,663.7447972035196,0.6662580375191041
CC(C(C)(C)C)C(C)(C)C,438.0,1.0,644.025796631954,0.6998106005596345
CC(C(C)(C)C)C(C)(C)C,459.0,1.0,623.3631477013256,0.7333631636001648
CC(C(C)(C)C)C(C)(C)C,480.0,1.0,601.7568504116346,0.7669157266406953
CC(C(C)(C)C)C(C)(C)C,500.0,1.0,580.3021096205101,0.7988705485840576
CC(C(C)(C)C)C(C)(C)C,521.0,1.0,556.8534512488396,0.832423111624588
CC(C(C)(C)C)C(C)(C)C,542.0,1.0,532.4611445181065,0.8659756746651185
CC(C(C)(C)C)C(C)(C)C,563.0,1.0,507.12518942831065,0.8995282377056488
CC(C(C)(C)C)C(C)(C)C(C)(C)C,282.0,1.0,810.1507838235699,0.3996699946167926
CC(C(C)(C)C)C(C)(C)C(C)(C)C,306.0,1.0,797.1435303569338,0.4336844622437537
CC(C(C)(C)C)C(C)(C)C(C)(C)C,329.0,1.0,783.71826950699,0.46628166038625807
CC(C(C)(C)C)C(C)(C)C(C)(C)C,353.0,1.0,768.7075872867871,0.5002961280132191
CC(C(C)(C)C)C(C)(C)C(C)(C)C,376.0,1.0,753.3623738813418,0.5328933261557235
CC(C(C)(C)C)C(C)(C)C(C)(C)C,400.0,1.0,736.348262907572,0.5669077937826845
CC(C(C)(C)C)C(C)(C)C(C)(C)C,423.0,1.0,719.0830969466251,0.5995049919251889
CC(C(C)(C)C)C(C)(C)C(C)(C)C,447.0,1.0,700.0655572192885,0.6335194595521499
CC(C(C)(C)C)C(C)(C)C(C)(C)C,470.0,1.0,680.8804387028401,0.6661166576946543
CC(C(C)(C)C)C(C)(C)C(C)(C)C,494.0,1.0,659.8594702219367,0.7001311253216154
CC(C(C)(C)C)C(C)(C)C(C)(C)C,517.0,1.0,638.7543991499867,0.7327283234641198
CC(C(C)(C)C)C(C)(C)C(C)(C)C,541.0,1.0,615.7300019155164,0.7667427910910809
CC(C(C)(C)C)C(C)(C)C(C)(C)C,564.0,1.0,592.7049782880649,0.7993399892335852
CC(C(C)(C)C)C(C)(C)C(C)(C)C,588.0,1.0,567.6771523000277,0.8333544568605463
CC(C(C)(C)C)C(C)(C)C(C)(C)C,611.0,1.0,542.7321761170747,0.8659516550030506
CC(C(C)(C)C)C(C)(C)C(C)(C)C,635.0,1.0,515.7009213754708,0.8999661226300117
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,319.0,1.0,850.8943642043979,0.3998647898070831
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,346.0,1.0,837.8418135111364,0.4337091450572124
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,372.0,1.0,824.6188279375092,0.46630000566844804
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,399.0,1.0,810.2082547470833,0.5001443609185773
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,425.0,1.0,795.6775438058163,0.5327352215298129
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,452.0,1.0,779.908948118226,0.5665795767799422
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,478.0,1.0,764.0705118093192,0.5991704373911778
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,505.0,1.0,746.9438936245647,0.6330147926413071
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,531.0,1.0,729.797731948018,0.6656056532525427
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,558.0,1.0,711.313091266099,0.699450008502672
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,584.0,1.0,692.8592042219127,0.7320408691139076
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,611.0,1.0,673.0165410428294,0.7658852243640369
CC(C(C)(C)C)C(C)(C)C(C)(C)C(C)(C)C(C)(C)C,637.0,1.0,653.2549286310033,0.7984760849752726
