smiles,T,P,density,red_T
CC(C(C)(C)C)C(C)(C)C,250.0,1.0,786.9673438337124,0.3994352742920288
CC(C(C)(C)C)C(C)(C)C,271.0,1.0,774.7525944985023,0.4329878373325592
CC(C(C)(C)C)C(C)(C)C,292.0,1.0,761.5941968042295,0.4665404003730896
CC(C(C)(C)C)C(C)(C)C,313.0,1.0,747.492150750894,0.5000929634136201
CC(C(C)(C)C)C(C)(C)C,333.0,1.0,733.1843158991556,0.5320477853569824
CC(C(C)(C)C)C(C)(C)C,354.0,1.0,717.2399087638406,0.5656003483975128
CC(C(C)(C)C)C(C)(C)C,375.0,1.0,700.3518532694629,0.5991529114380432
CC(C(C)(C)C)C(C)(C)C,396.0,1.0,682.5201494160226,0.6327054744785736
CC(C(C)(C)C)C(C)(C)C,417.0,1.0,663.7447972035196,0.6662580375191041
CC(C(C)(C)C)C(C)(C)C,438.0,1.0,644.025796631954,0.6998106005596345
CC(C(C)(C)C)C(C)(C)C,459.0,1.0,623.3631477013256,0.7333631636001648
CC(C(C)(C)C)C(C)(C)C,480.0,1.0,601.7568504116346,0.7669157266406953
CC(C(C)(C)C)C(C)(C)C,500.0,1.0,580.3021096205101,0.7988705485840576
CC(C(C)(C)C)C(C)(C)C,521.0,1.0,556.8534512488396,0.832423111624588
CC(C(C)(C)C)C(C)(C)C,542.0,1.0,532.4611445181065,0.8659756746651185
CC(C(C)(C)C)C(C)(C)C,563.0,1.0,507.12518942831065,0.8995282377056488
CC(C(C)C(C)(C)C)C(C)(C)C,262.0,1.0,797.9836701193234,0.3990058759247231
CC(C(C)C(C)(C)C)C(C)(C)C,284.0,1.0,785.3046200645703,0.4325101861168755
CC(C(C)C(C)(C)C)C(C)(C)C,306.0,1.0,771.7927810057231,0.4660144963090277
CC(C(C)C(C)(C)C)C(C)(C)C,328.0,1.0,757.448152942782,0.4995188065011801
CC(C(C)C(C)(C)C)C(C)(C)C,349.0,1.0,742.9786851733044,0.53150019350278
CC(C(C)C(C)(C)C)C(C)(C)C,371.0,1.0,727.0063331478161,0.5650045036949324
CC(C(C)C(C)(C)C)C(C)(C)C,393.0,1.0,710.201192118234,0.5985088138870847
CC(C(C)C(C)(C)C)C(C)(C)C,415.0,1.0,692.5632620845579,0.632013124079237
CC(C(C)C(C)(C)C)C(C)(C)C,437.0,1.0,674.0925430467878,0.6655174342713893
CC(C(C)C(C)(C)C)C(C)(C)C,459.0,1.0,654.7890350049239,0.6990217444635417
CC(C(C)C(C)(C)C)C(C)(C)C,481.0,1.0,634.652737958966,0.732526054655694
CC(C(C)C(C)(C)C)C(C)(C)C,503.0,1.0,613.6836519089143,0.7660303648478463
CC(C(C)C(C)(C)C)C(C)(C)C,524.0,1.0,592.8908378790127,0.7980117518494463
CC(C(C)C(C)(C)C)C(C)(C)C,546.0,1.0,570.2940278664137,0.8315160620415986
CC(C(C)C(C)(C)C)C(C)(C)C,568.0,1.0,546.8644288497208,0.865020372233751
CC(C(C)C(C)(C)C)C(C)(C)C,590.0,1.0,522.6020408289339,0.8985246824259032
CC(C)(C)C,173.0,1.0,736.2563041098678,0.3984184594926512
CC(C)(C)C,187.0,1.0,724.901776800536,0.4306604157521721
CC(C)(C)C,202.0,1.0,711.7813574923838,0.465205368887373
CC(C)(C)C,216.0,1.0,698.6444354264978,0.497447325146894
CC(C)(C)C,231.0,1.0,683.6143074506087,0.5319922782820949
CC(C)(C)C,245.0,1.0,668.6949906281685,0.5642342345416158
CC(C)(C)C,260.0,1.0,651.7551539845427,0.5987791876768168
CC(C)(C)C,274.0,1.0,635.0534424055481,0.6310211439363377
CC(C)(C)C,289.0,1.0,616.2038970941857,0.6655660970715387
CC(C)(C)C,303.0,1.0,597.7197907586369,0.6978080533310596
CC(C)(C)C,318.0,1.0,576.9605367795376,0.7323530064662606
CC(C)(C)C,332.0,1.0,556.6940356874345,0.7645949627257814
CC(C)(C)C,347.0,1.0,534.0250730405985,0.7991399158609824
CC(C)(C)C,361.0,1.0,511.97617719194113,0.8313818721205033
CC(C)(C)C,376.0,1.0,487.3975058773684,0.8659268252557043
CC(C)(C)C,390.0,1.0,463.5662152721568,0.8981687815152252
CC(C)C,163.0,1.0,705.412611919356,0.3982940714879222
CC(C)C,177.0,1.0,694.734086028082,0.432503378241486
CC(C)C,190.0,1.0,683.8222867946031,0.464269163084081
CC(C)C,204.0,1.0,670.9984758753073,0.4984784698376449
CC(C)C,218.0,1.0,657.0622949414819,0.5326877765912088
CC(C)C,231.0,1.0,643.1255303113483,0.5644535614338038
CC(C)C,245.0,1.0,627.0440643495011,0.5986628681873677
CC(C)C,259.0,1.0,609.8502283731243,0.6328721749409315
CC(C)C,272.0,1.0,592.8884983463357,0.6646379597835266
CC(C)C,286.0,1.0,573.5493773419373,0.6988472665370904
CC(C)C,300.0,1.0,553.0978863230091,0.7330565732906543
CC(C)C,313.0,1.0,533.1111908995657,0.7648223581332493
CC(C)C,327.0,1.0,510.5144148526159,0.7990316648868132
CC(C)C,341.0,1.0,486.80526879113626,0.833240971640377
CC(C)C,354.0,1.0,463.7936079710381,0.8650067564829721
CC(C)C,368.0,1.0,437.93917688153687,0.8992160632365359
CC(C)C(C(C)(C)C)C(C)(C)C,271.0,1.0,799.9368221061975,0.3996836525903344
CC(C)C(C(C)(C)C)C(C)(C)C,294.0,1.0,786.9569219822976,0.4336051434005842
CC(C)C(C(C)(C)C)C(C)(C)C,316.0,1.0,773.6607333526234,0.4660517867843014
CC(C)C(C(C)(C)C)C(C)(C)C,339.0,1.0,758.8395117962955,0.4999732775945512
CC(C)C(C(C)(C)C)C(C)(C)C,361.0,1.0,743.7820591877773,0.5324199209782684
