smiles,T,P,hvap,red_T
CC(C(C)(C)C)C(C)(C)C,250.0,1.0,47.141431679253614,0.3994352742920288
CC(C(C)(C)C)C(C)(C)C,271.0,1.0,46.11090096592064,0.4329878373325592
CC(C(C)(C)C)C(C)(C)C,292.0,1.0,45.05799923483819,0.4665404003730896
CC(C(C)(C)C)C(C)(C)C,313.0,1.0,43.98272648600624,0.5000929634136201
CC(C(C)(C)C)C(C)(C)C,333.0,1.0,42.937858749528445,0.5320477853569824
CC(C(C)(C)C)C(C)(C)C,354.0,1.0,41.81890925175701,0.5656003483975128
CC(C(C)(C)C)C(C)(C)C,375.0,1.0,40.67758873623609,0.5991529114380432
CC(C(C)(C)C)C(C)(C)C,396.0,1.0,39.51389720296569,0.6327054744785736
CC(C(C)(C)C)C(C)(C)C,417.0,1.0,38.327834651945786,0.6662580375191041
CC(C(C)(C)C)C(C)(C)C,438.0,1.0,37.1194010831764,0.6998106005596345
CC(C(C)(C)C)C(C)(C)C,459.0,1.0,35.88859649665751,0.7333631636001648
CC(C(C)(C)C)C(C)(C)C,480.0,1.0,34.63542089238915,0.7669157266406953
CC(C(C)(C)C)C(C)(C)C,500.0,1.0,33.42112186501952,0.7988705485840576
CC(C(C)(C)C)C(C)(C)C,521.0,1.0,32.12426951181168,0.832423111624588
CC(C(C)(C)C)C(C)(C)C,542.0,1.0,30.80504614085433,0.8659756746651185
CC(C(C)(C)C)C(C)(C)C,563.0,1.0,29.4634517521475,0.8995282377056488
CC(C(C)C(C)(C)C)C(C)(C)C,262.0,1.0,54.17731691344784,0.3990058759247231
CC(C(C)C(C)(C)C)C(C)(C)C,284.0,1.0,52.941295574360446,0.4325101861168755
CC(C(C)C(C)(C)C)C(C)(C)C,306.0,1.0,51.6853983623548,0.4660144963090277
CC(C(C)C(C)(C)C)C(C)(C)C,328.0,1.0,50.40962527743093,0.4995188065011801
CC(C(C)C(C)(C)C)C(C)(C)C,349.0,1.0,49.17330064549412,0.53150019350278
CC(C(C)C(C)(C)C)C(C)(C)C,371.0,1.0,47.85867926350276,0.5650045036949324
CC(C(C)C(C)(C)C)C(C)(C)C,393.0,1.0,46.52418200859316,0.5985088138870847
CC(C(C)C(C)(C)C)C(C)(C)C,415.0,1.0,45.16980888076532,0.632013124079237
CC(C(C)C(C)(C)C)C(C)(C)C,437.0,1.0,43.795559880019226,0.6655174342713893
CC(C(C)C(C)(C)C)C(C)(C)C,459.0,1.0,42.401435006354895,0.6990217444635417
CC(C(C)C(C)(C)C)C(C)(C)C,481.0,1.0,40.98743425977232,0.732526054655694
CC(C(C)C(C)(C)C)C(C)(C)C,503.0,1.0,39.55355764027151,0.7660303648478463
CC(C(C)C(C)(C)C)C(C)(C)C,524.0,1.0,38.1663159980567,0.7980117518494463
CC(C(C)C(C)(C)C)C(C)(C)C,546.0,1.0,36.693591081488414,0.8315160620415986
CC(C(C)C(C)(C)C)C(C)(C)C,568.0,1.0,35.20099029200188,0.865020372233751
CC(C(C)C(C)(C)C)C(C)(C)C,590.0,1.0,33.68851362959709,0.8985246824259032
CC(C)(C)C,173.0,1.0,29.58937027115721,0.3984184594926512
CC(C)(C)C,187.0,1.0,28.983545289672435,0.4306604157521721
CC(C)(C)C,202.0,1.0,28.318026249092263,0.465205368887373
CC(C)(C)C,216.0,1.0,27.681549021494067,0.497447325146894
CC(C)(C)C,231.0,1.0,26.983188288649533,0.5319922782820949
CC(C)(C)C,245.0,1.0,26.31605881493793,0.5642342345416158
CC(C)(C)C,260.0,1.0,25.584856389829028,0.5987791876768168
CC(C)(C)C,274.0,1.0,24.88707467000402,0.6310211439363377
CC(C)(C)C,289.0,1.0,24.123030552630752,0.6655660970715387
CC(C)(C)C,303.0,1.0,23.394596586692334,0.6978080533310596
CC(C)(C)C,318.0,1.0,22.5977107770547,0.7323530064662606
CC(C)(C)C,332.0,1.0,21.83862456500288,0.7645949627257814
CC(C)(C)C,347.0,1.0,21.008897063100875,0.7991399158609824
CC(C)(C)C,361.0,1.0,20.21915860493564,0.8313818721205033
CC(C)(C)C,376.0,1.0,19.35658941076927,0.8659268252557043
CC(C)(C)C,390.0,1.0,18.536198706490623,0.8981687815152252
CC(C)C,163.0,1.0,26.376069138720403,0.3982940714879222
CC(C)C,177.0,1.0,25.87504514171591,0.432503378241486
CC(C)C,190.0,1.0,25.389017833313552,0.464269163084081
CC(C)C,204.0,1.0,24.84321378145144,0.4984784698376449
CC(C)C,218.0,1.0,24.274190441885377,0.5326877765912088
CC(C)C,231.0,1.0,23.725020886818715,0.5644535614338038
CC(C)C,245.0,1.0,23.11121749239504,0.5986628681873677
CC(C)C,259.0,1.0,22.474194810267416,0.6328721749409315
CC(C)C,272.0,1.0,21.86188300853645,0.6646379597835266
CC(C)C,286.0,1.0,21.18008027155121,0.6988472665370904
CC(C)C,300.0,1.0,20.475058246862023,0.7330565732906543
CC(C)C,313.0,1.0,19.799604198466746,0.7648223581332493
CC(C)C,327.0,1.0,19.049802118919946,0.7990316648868132
CC(C)C,341.0,1.0,18.2767807516692,0.833240971640377
CC(C)C,354.0,1.0,17.538184456609613,0.8650067564829721
CC(C)C,368.0,1.0,16.72038303450125,0.8992160632365359
CC(C)C(C(C)(C)C)C(C)(C)C,271.0,1.0,53.77007149349983,0.3996836525903344
CC(C)C(C(C)(C)C)C(C)(C)C,294.0,1.0,52.51735215607466,0.4336051434005842
CC(C)C(C(C)(C)C)C(C)(C)C,316.0,1.0,51.29779375488052,0.4660517867843014
CC(C)C(C(C)(C)C)C(C)(C)C,339.0,1.0,50.00052734435432,0.4999732775945512
CC(C)C(C(C)(C)C)C(C)(C)C,361.0,1.0,48.7383586993244,0.5324199209782684
CC(C)C(C(C)(C)C)C(C)(C)C,384.0,1.0,47.39654521569716,0.5663414117885182
CC(C)C(C(C)(C)C)C(C)(C)C,407.0,1.0,46.031963228040496,0.6002629025987679
CC(C)C(C(C)(C)C)C(C)(C)C,429.0,1.0,44.7054057701032,0.6327095459824852
CC(C)C(C(C)(C)C)C(C)(C)C,452.0,1.0,43.2962767093455,0.6666310367927349
CC(C)C(C(C)(C)C)C(C)(C)C,474.0,1.0,41.92710900757243,0.6990776801764521
CC(C)C(C(C)(C)C)C(C)(C)C,497.0,1.0,40.473432873713705,0.7329991709867019
CC(C)C(C(C)(C)C)C(C)(C)C,520.0,1.0,38.99698823582555,0.7669206617969517
CC(C)C(C(C)(C)C)C(C)(C)C,542.0,1.0,37.56343172114509,0.7993673051806689
CC(C)C(C(C)(C)C)C(C)(C)C,565.0,1.0,36.04244001015591,0.8332887959909187
CC(C)C(C(C)(C)C)C(C)(C)C,587.0,1.0,34.56627325163968,0.8657354393746358
CC(C)C(C(C)(C)C)C(C)(C)C,610.0,1.0,33.00073446754946,0.8996569301848856
CC(C)C(C)(C(C)(C)C)C(C)(C)C,282.0,1.0,57.67039949827566,0.399130449316993
CC(C)C(C)(C(C)(C)C)C(C)(C)C,306.0,1.0,56.34513400270538,0.433098998195035
CC(C)C(C)(C(C)(C)C)C(C)(C)C,329.0,1.0,55.06410891475125,0.4656521908698252
CC(C)C(C)(C(C)(C)C)C(C)(C)C,353.0,1.0,53.715930748504185,0.4996207397478671
CC(C)C(C)(C(C)(C)C)C(C)(C)C,376.0,1.0,52.41294768448478,0.5321739324226573
CC(C)C(C)(C(C)(C)C)C(C)(C)C,400.0,1.0,51.04185684756092,0.5661424813006993
CC(C)C(C)(C(C)(C)C)C(C)(C)C,423.0,1.0,49.716915807476255,0.5986956739754895
